Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00 2080768/7282688     Vector::operator/(double) [16]
                0.00    0.00 2080768/7282688     Vector::operator-(double) [17]
                0.00    0.00 3121152/7282688     Vector::dot(Vector) const [12]
[8]      0.0    0.00    0.00 7282688         Vector::operator[](unsigned int) [8]
-----------------------------------------------
                0.00    0.00     128/73663       Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [145]
                0.00    0.00   73535/73663       Vector::Vector(Vector const&) [11]
[9]      0.0    0.00    0.00   73663         Vector::Vector(unsigned int) [9]
-----------------------------------------------
                0.00    0.00     128/73663       Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [145]
                0.00    0.00     383/73663       void std::_Destroy<Vector>(Vector*) [35]
                0.00    0.00   16256/73663       Vector::magnitude() const [19]
                0.00    0.00   16256/73663       Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [147]
                0.00    0.00   40640/73663       Analysis::pearson(Vector, Vector) [25]
[10]     0.0    0.00    0.00   73663         Vector::~Vector() [10]
-----------------------------------------------
                0.00    0.00     128/73535       void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&) [43]
                0.00    0.00     255/73535       void std::_Construct<Vector, Vector const&>(Vector*, Vector const&) [38]
                0.00    0.00    8128/73535       Analysis::pearson(Vector, Vector) [25]
                0.00    0.00   16256/73535       Vector::magnitude() const [19]
                0.00    0.00   16256/73535       Vector::operator/(double) [16]
                0.00    0.00   16256/73535       Vector::operator-(double) [17]
                0.00    0.00   16256/73535       Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [147]
[11]     0.0    0.00    0.00   73535         Vector::Vector(Vector const&) [11]
                0.00    0.00   73535/73663       Vector::Vector(unsigned int) [9]
-----------------------------------------------
                0.00    0.00    8128/24384       Analysis::pearson(Vector, Vector) [25]
                0.00    0.00   16256/24384       Vector::magnitude() const [19]
[12]     0.0    0.00    0.00   24384         Vector::dot(Vector) const [12]
                0.00    0.00 3121152/7282688     Vector::operator[](unsigned int) [8]
-----------------------------------------------
                0.00    0.00   16384/16384       double* std::__copy_n_a<std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*, bool) [49]
[13]     0.0    0.00    0.00   16384         std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const [13]
-----------------------------------------------
